English Term,French Term,Description (English),Description (French)
Acute Coronary Syndrome,Syndrome Coronarian Aigu,A group of conditions caused by a sudden reduction in blood flow to the heart,Un groupe de conditions causées par une réduction soudaine du flux sanguin vers le cœur
Acute Myocardial Infarction,Infarctus du Myocarde,Also known as a heart attack, occurs when blood flow to a part of the heart is blocked,Aussi connu sous le nom de crise cardiaque, survient lorsque le flux sanguin vers une partie du cœur est bloqué
Congestive Heart Failure,Insuffisance Cardiaque Congestive,A condition in which the heart is unable to pump effectively,Une condition dans laquelle le cœur est incapable de pomper efficacement
Chronic Obstructive Pulmonary Disease,Maladie Pulmonaire Obstructive Chronique,A progressive lung disease that makes breathing difficult,Une maladie pulmonaire progressive qui rend la respiration difficile
Cerebrovascular Accident,Accident Vasculaire Cérébral,Also known as a stroke, it involves the interruption of blood flow to the brain,Aussi appelé AVC, il implique l’interruption du flux sanguin vers le cerveau
Deep Vein Thrombosis,Thrombose Veineuse Profonde,A blood clot that forms in a deep vein, often in the legs,Un caillot sanguin qui se forme dans une veine profonde, souvent dans les jambes
Electrocardiogram,Électrocardiogramme,A test that records the electrical activity of the heart,Un test qui enregistre l’activité électrique du cœur
Pulmonary Embolism,Embolie Pulmonaire,A blockage in one of the pulmonary arteries in the lungs, often caused by blood clots,Une obstruction dans l’une des artères pulmonaires, souvent causée par des caillots sanguins
Peripheral Vascular Disease,Maladie Vasculaire Périphérique,A circulation disorder affecting blood vessels outside the heart and brain,Un trouble de la circulation affectant les vaisseaux sanguins en dehors du cœur et du cerveau
Transient Ischemic Attack,Accidente Ischémique Transitoire,Often called a mini-stroke, it’s a temporary period of symptoms similar to those of a stroke,Souvent appelé mini-AVC, c’est une période temporaire de symptômes similaires à ceux d’un AVC
High Blood Pressure,Hypertension Artérielle,A condition where blood pressure in the arteries is persistently elevated,Une condition où la pression sanguine dans les artères est constamment élevée
Myocardial Infarction,Infarctus du Myocarde,Another term for a heart attack, involving the death of heart muscle due to prolonged lack of oxygen,Un autre terme pour une crise cardiaque, impliquant la mort du muscle cardiaque en raison d’un manque prolongé d’oxygène
Acute Respiratory Distress Syndrome,Syndrome de Détresse Respiratoire Aiguë,A severe lung condition caused by fluid accumulation in the lungs,Une condition pulmonaire grave causée par une accumulation de liquide dans les poumons
Red Blood Cell,Globule Rouge,Cells in the blood that carry oxygen from the lungs to the rest of the body,Cellules sanguines qui transportent l'oxygène des poumons vers le reste du corps
White Blood Cell,Globule Blanc,Cells of the immune system that are involved in protecting the body against infection,Cellules du système immunitaire impliquées dans la protection du corps contre les infections
Shortness of Breath,Essoufflement,Difficulty in breathing that can be a symptom of various medical conditions,Difficulté à respirer qui peut être un symptôme de diverses conditions médicales
Hypertension,Hypertension,High blood pressure,Hypertension artérielle
Coronary Artery Disease,Maladie Artérielle Coronaire,A condition caused by the buildup of plaque in the coronary arteries,Une condition causée par l'accumulation de plaques dans les artères coronaires
Breast Cancer Gene,Gène du Cancer du Sein,Genetic mutations associated with an increased risk of breast and ovarian cancer,Mutations génétiques associées à un risque accru de cancer du sein et des ovaires
Human Immunodeficiency Virus,Virus de l’Immunodéficience Humaine,A virus that attacks the immune system and can lead to AIDS,Un virus qui attaque le système immunitaire et peut mener au SIDA
Acquired Immunodeficiency Syndrome,Syndrome d’Immunodéficience Acquise,A condition caused by the HIV virus, characterized by a severe weakening of the immune system,Une condition causée par le virus VIH, caractérisée par un affaiblissement sévère du système immunitaire
Diabetes Mellitus,Diabète Mellitus,A group of diseases that affect blood sugar regulation,Un groupe de maladies affectant la régulation du sucre dans le sang
Inflammatory Bowel Disease,Maladie Inflammatoire Intestinale,Includes conditions like Crohn’s disease and ulcerative colitis,Comprend des conditions comme la maladie de Crohn et la colite ulcéreuse
Irritable Bowel Syndrome,Syndrome du Colon Irritable,A chronic gastrointestinal condition causing abdominal pain and altered bowel habits,Une condition gastro-intestinale chronique causant des douleurs abdominales et des habitudes intestinales modifiées
Rheumatoid Arthritis,Arthrite Rhumatoïde,An autoimmune disorder causing joint inflammation and damage,Un trouble auto-immun causant une inflammation et des dommages aux articulations
Osteoarthritis,Arthrose,A degenerative joint disease that results in the breakdown of cartilage,Une maladie articulaire dégénérative entraînant la dégradation du cartilage
Multiple Sclerosis,Sclérose en Plaques,A chronic illness of the central nervous system affecting the brain and spinal cord,Une maladie chronique du système nerveux central affectant le cerveau et la moelle épinière
Parkinson’s Disease,Maladie de Parkinson,A neurodegenerative disorder that affects movement control,Un trouble neurodégénératif affectant le contrôle des mouvements
Amyotrophic Lateral Sclerosis,Sclérose Latérale Amyotrophique,Also known as Lou Gehrig's disease, it affects nerve cells in the brain and spinal cord,Aussi connue sous le nom de maladie de Lou Gehrig, elle affecte les cellules nerveuses dans le cerveau et la moelle épinière
